text,label,source,source_file,text_hash
"oggetto: promemoria scadenza password buongiorno, la password scadrà tra sette giorni secondo la normale policy annuale. il servizio coinvolto è portale hr nova. apri il portale dal segnalibro e scegli impostazioni > sicurezza. non comunicare password o codici via email; per dubbi usa i contatti pubblicati nella intranet. grazie, amministrazione — cooperativa orione",0,synthetic_legitimate_hard_negative_v1,batch_01/b01-password-01.txt,5d40082c3daadc139acb95eb24b9cd818a78c4beff34169496f5933732ad54b8
"oggetto: cambio password completato ciao, questa è una comunicazione informativa relativa a portale hr nova. la modifica richiesta questa mattina è stata registrata correttamente. se non riconosci l'attività telefona al service desk usando il numero interno. se hai già completato l'operazione puoi ignorare il promemoria. cordiali saluti, customer care — banca esempio",0,synthetic_legitimate_hard_negative_v1,batch_01/b01-password-02.txt,9a442fd42e1d1de316bbcc2fe19935cf9a7c5196fec7993ddc63e01bd6a0ed3e
"oggetto: rotazione credenziali programmata gentile collega, per portale hr nova: nel prossimo accesso verrà proposto il rinnovo periodico delle credenziali. indicazione operativa: segui la procedura mostrata dopo il normale login aziendale. accedi sempre dal preferito aziendale o dall'app ufficiale, senza usare link ricevuti da mittenti sconosciuti. service desk — aurora manufacturing",0,synthetic_legitimate_hard_negative_v1,batch_01/b01-password-03.txt,e69879d74552ae645b47f21bba5fc533d6def4347a9cb90c4bceabb3fdf20fad
"oggetto: promemoria scadenza password salve, per area ricerca ateneo registriamo il seguente aggiornamento: la password scadrà tra sette giorni secondo la normale policy annuale. apri il portale dal segnalibro e scegli impostazioni > sicurezza. per assistenza apri una richiesta dal catalogo servizi interno indicando l'oggetto di questa comunicazione. a disposizione, sistemi informativi — università delta",0,synthetic_legitimate_hard_negative_v1,batch_01/b01-password-04.txt,0d5aaf879c445f2573f071680c80bc3c50f12a30d179d31654cbc98b899ef71d
"oggetto: cambio password completato buongiorno, la modifica richiesta questa mattina è stata registrata correttamente. il servizio coinvolto è area ricerca ateneo. se non riconosci l'attività telefona al service desk usando il numero interno. non comunicare password o codici via email; per dubbi usa i contatti pubblicati nella intranet. grazie, amministrazione — cooperativa orione",0,synthetic_legitimate_hard_negative_v1,batch_01/b01-password-05.txt,a83be8a05695213c1cf5edd647ca1f2bf81bda8a25c1ccde6a444cc48287b637
"oggetto: rotazione credenziali programmata ciao, questa è una comunicazione informativa relativa a area ricerca ateneo. nel prossimo accesso verrà proposto il rinnovo periodico delle credenziali. segui la procedura mostrata dopo il normale login aziendale. se hai già completato l'operazione puoi ignorare il promemoria. cordiali saluti, customer care — banca esempio",0,synthetic_legitimate_hard_negative_v1,batch_01/b01-password-06.txt,fd4a44064536438c41fc970242f0a95f57e51bec8a890d00dbcf11e538dce352
"oggetto: promemoria scadenza password gentile collega, per gestionale rdap: la password scadrà tra sette giorni secondo la normale policy annuale. indicazione operativa: apri il portale dal segnalibro e scegli impostazioni > sicurezza. accedi sempre dal preferito aziendale o dall'app ufficiale, senza usare link ricevuti da mittenti sconosciuti. service desk — aurora manufacturing",0,synthetic_legitimate_hard_negative_v1,batch_01/b01-password-07.txt,c3f5811bd2748076dd8364f1f4e4906e231525140a21786d5a853b47cd650c4f
"oggetto: cambio password completato salve, per gestionale rdap registriamo il seguente aggiornamento: la modifica richiesta questa mattina è stata registrata correttamente. se non riconosci l'attività telefona al service desk usando il numero interno. per assistenza apri una richiesta dal catalogo servizi interno indicando l'oggetto di questa comunicazione. a disposizione, sistemi informativi — università delta",0,synthetic_legitimate_hard_negative_v1,batch_01/b01-password-08.txt,2e3e5036f34ed53f90966e16a99bb522214a342dd0e8e51b0b43a46eb78d4a9a
"oggetto: rotazione credenziali programmata buongiorno, nel prossimo accesso verrà proposto il rinnovo periodico delle credenziali. il servizio coinvolto è gestionale rdap. segui la procedura mostrata dopo il normale login aziendale. non comunicare password o codici via email; per dubbi usa i contatti pubblicati nella intranet. grazie, amministrazione — cooperativa orione",0,synthetic_legitimate_hard_negative_v1,batch_01/b01-password-09.txt,79ab50aaa41d878820cf81c121f9dafe160b74244b09596523c586dee25b25a6
"oggetto: promemoria scadenza password ciao, questa è una comunicazione informativa relativa a workspace atlas. la password scadrà tra sette giorni secondo la normale policy annuale. apri il portale dal segnalibro e scegli impostazioni > sicurezza. se hai già completato l'operazione puoi ignorare il promemoria. cordiali saluti, customer care — banca esempio",0,synthetic_legitimate_hard_negative_v1,batch_01/b01-password-10.txt,4039fdb39ae93cf63435bc79e807efb00fa976c4f464dd8a0d2c04dfdc341a95
